equipment_id_dec,equipment_id_hex,name,group,slot_label,stat_value,pack_table_index,pack_pointer_16,pack_raw_offset,pack_label_c0_mirror,hook_count,hook_ids,hook_signature,is_default_pack,has_c1_c2_c8_special_hook,changed_83_or_84_target,classification
143,0x8F,金棒,鬼/特殊系A,武器,50,same_as_equipment_id_zero_based_table,0x0BCD,0x0B0BCD,CB:0BCD,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
144,0x90,銅の金棒,鬼/特殊系A,武器,56,same_as_equipment_id_zero_based_table,0x0BD7,0x0B0BD7,CB:0BD7,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
145,0x91,鉄の金棒,鬼/特殊系A,武器,62,same_as_equipment_id_zero_based_table,0x0BE1,0x0B0BE1,CB:0BE1,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
146,0x92,火の金棒,鬼/特殊系A,武器,69,same_as_equipment_id_zero_based_table,0x0BEB,0x0B0BEB,CB:0BEB,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
147,0x93,炎の金棒,鬼/特殊系A,武器,75,same_as_equipment_id_zero_based_table,0x0BF5,0x0B0BF5,CB:0BF5,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
148,0x94,力の金棒,鬼/特殊系A,武器,83,same_as_equipment_id_zero_based_table,0x0BFF,0x0B0BFF,CB:0BFF,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
149,0x95,怒りの金棒,鬼/特殊系A,武器,90,same_as_equipment_id_zero_based_table,0x0C09,0x0B0C09,CB:0C09,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
150,0x96,なし,鬼/特殊系A,武器,0,same_as_equipment_id_zero_based_table,0x0C13,0x0B0C13,CB:0C13,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
151,0x97,なし,鬼/特殊系A,武器,0,same_as_equipment_id_zero_based_table,0x0C1D,0x0B0C1D,CB:0C1D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
152,0x98,なし,鬼/特殊系A,武器,0,same_as_equipment_id_zero_based_table,0x0C27,0x0B0C27,CB:0C27,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
153,0x99,虎のこしまき,鬼/特殊系A,胴,9,same_as_equipment_id_zero_based_table,0x0C31,0x0B0C31,CB:0C31,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
154,0x9A,銀のこしまき,鬼/特殊系A,胴,19,same_as_equipment_id_zero_based_table,0x0C3B,0x0B0C3B,CB:0C3B,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
155,0x9B,金のこしまき,鬼/特殊系A,胴,24,same_as_equipment_id_zero_based_table,0x0C45,0x0B0C45,CB:0C45,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
156,0x9C,黄泉のこしまき,鬼/特殊系A,胴,30,same_as_equipment_id_zero_based_table,0x0C4F,0x0B0C4F,CB:0C4F,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
157,0x9D,なし,鬼/特殊系A,胴,0,same_as_equipment_id_zero_based_table,0x0C59,0x0B0C59,CB:0C59,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
158,0x9E,なし,鬼/特殊系A,胴,0,same_as_equipment_id_zero_based_table,0x0C63,0x0B0C63,CB:0C63,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
159,0x9F,なし,鬼/特殊系A,胴,0,same_as_equipment_id_zero_based_table,0x0C6D,0x0B0C6D,CB:0C6D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
160,0xA0,独鈷,鬼/特殊系B,武器,65,same_as_equipment_id_zero_based_table,0x0C77,0x0B0C77,CB:0C77,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
161,0xA1,火の独鈷,鬼/特殊系B,武器,74,same_as_equipment_id_zero_based_table,0x0C81,0x0B0C81,CB:0C81,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
162,0xA2,炎の独鈷,鬼/特殊系B,武器,82,same_as_equipment_id_zero_based_table,0x0C8B,0x0B0C8B,CB:0C8B,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
163,0xA3,紅蓮の独鈷,鬼/特殊系B,武器,95,same_as_equipment_id_zero_based_table,0x0C95,0x0B0C95,CB:0C95,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
164,0xA4,なし,鬼/特殊系B,武器,0,same_as_equipment_id_zero_based_table,0x0C9F,0x0B0C9F,CB:0C9F,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
165,0xA5,なし,鬼/特殊系B,武器,0,same_as_equipment_id_zero_based_table,0x0CA9,0x0B0CA9,CB:0CA9,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
166,0xA6,なし,鬼/特殊系B,武器,0,same_as_equipment_id_zero_based_table,0x0CB3,0x0B0CB3,CB:0CB3,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
167,0xA7,火の衣,鬼/特殊系B,胴,10,same_as_equipment_id_zero_based_table,0x0CBD,0x0B0CBD,CB:0CBD,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
168,0xA8,炎の衣,鬼/特殊系B,胴,18,same_as_equipment_id_zero_based_table,0x0CC7,0x0B0CC7,CB:0CC7,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
169,0xA9,火炎の衣,鬼/特殊系B,胴,23,same_as_equipment_id_zero_based_table,0x0CD1,0x0B0CD1,CB:0CD1,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
170,0xAA,黄泉の衣,鬼/特殊系B,胴,37,same_as_equipment_id_zero_based_table,0x0CDB,0x0B0CDB,CB:0CDB,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
171,0xAB,なし,鬼/特殊系B,胴,0,same_as_equipment_id_zero_based_table,0x0CE5,0x0B0CE5,CB:0CE5,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
172,0xAC,なし,鬼/特殊系B,胴,0,same_as_equipment_id_zero_based_table,0x0CEF,0x0B0CEF,CB:0CEF,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
173,0xAD,なし,鬼/特殊系B,胴,0,same_as_equipment_id_zero_based_table,0x0CF9,0x0B0CF9,CB:0CF9,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
174,0xAE,ハの銅丸,鬼/特殊系B,胴,13,same_as_equipment_id_zero_based_table,0x0D03,0x0B0D03,CB:0D03,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
175,0xAF,ニの銅丸,鬼/特殊系B,胴,20,same_as_equipment_id_zero_based_table,0x0D0D,0x0B0D0D,CB:0D0D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
176,0xB0,ホの銅丸,鬼/特殊系B,胴,26,same_as_equipment_id_zero_based_table,0x0D17,0x0B0D17,CB:0D17,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
177,0xB1,ヘの銅丸,鬼/特殊系B,胴,30,same_as_equipment_id_zero_based_table,0x0D21,0x0B0D21,CB:0D21,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
178,0xB2,トの銅丸,鬼/特殊系B,胴,34,same_as_equipment_id_zero_based_table,0x0D2B,0x0B0D2B,CB:0D2B,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
179,0xB3,イの銅丸,鬼/特殊系B,胴,38,same_as_equipment_id_zero_based_table,0x0D35,0x0B0D35,CB:0D35,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
180,0xB4,ロの銅丸,鬼/特殊系B,胴,40,same_as_equipment_id_zero_based_table,0x0D3F,0x0B0D3F,CB:0D3F,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
181,0xB5,なし,鬼/特殊系B,胴,0,same_as_equipment_id_zero_based_table,0x0D49,0x0B0D49,CB:0D49,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
182,0xB6,なし,鬼/特殊系B,胴,0,same_as_equipment_id_zero_based_table,0x0D53,0x0B0D53,CB:0D53,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
183,0xB7,なし,鬼/特殊系B,胴,0,same_as_equipment_id_zero_based_table,0x0D5D,0x0B0D5D,CB:0D5D,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
184,0xB8,きんたんの錫杖,鬼/特殊系B,武器,10,same_as_equipment_id_zero_based_table,0x0D67,0x0B0D67,CB:0D67,4,84 83 82 C8,84->03DB 83->0D74 82->0408 C8->0D7C,False,True,True,non_default_special
185,0xB9,稲妻の錫杖,鬼/特殊系B,武器,18,same_as_equipment_id_zero_based_table,0x0D9B,0x0B0D9B,CB:0D9B,4,84 83 82 C8,84->03DB 83->0DA8 82->0408 C8->0DB0,False,True,True,non_default_special
186,0xBA,魔よけの錫杖,鬼/特殊系B,武器,25,same_as_equipment_id_zero_based_table,0x0DCE,0x0B0DCE,CB:0DCE,4,84 83 82 C8,84->03DB 83->0DDB 82->0408 C8->0DE3,False,True,True,non_default_special
187,0xBB,鹿角の錫杖,鬼/特殊系B,武器,32,same_as_equipment_id_zero_based_table,0x0DF7,0x0B0DF7,CB:0DF7,4,84 83 82 C8,84->03DB 83->0E04 82->0408 C8->0E08,False,True,True,non_default_special
188,0xBC,なし,鬼/特殊系B,武器,0,same_as_equipment_id_zero_based_table,0x0E20,0x0B0E20,CB:0E20,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
189,0xBD,なし,鬼/特殊系B,武器,0,same_as_equipment_id_zero_based_table,0x0E2A,0x0B0E2A,CB:0E2A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
190,0xBE,なし,鬼/特殊系B,武器,0,same_as_equipment_id_zero_based_table,0x0E34,0x0B0E34,CB:0E34,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
191,0xBF,麻のけさ,鬼/特殊系B,胴,8,same_as_equipment_id_zero_based_table,0x0E3E,0x0B0E3E,CB:0E3E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
192,0xC0,木綿のけさ,鬼/特殊系C,胴,16,same_as_equipment_id_zero_based_table,0x0E48,0x0B0E48,CB:0E48,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
193,0xC1,絹のけさ,鬼/特殊系C,胴,32,same_as_equipment_id_zero_based_table,0x0E52,0x0B0E52,CB:0E52,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
194,0xC2,是空のけさ,鬼/特殊系C,胴,38,same_as_equipment_id_zero_based_table,0x0E5C,0x0B0E5C,CB:0E5C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
195,0xC3,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0E66,0x0B0E66,CB:0E66,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
196,0xC4,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0E70,0x0B0E70,CB:0E70,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
197,0xC5,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0E7A,0x0B0E7A,CB:0E7A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
198,0xC6,荒ナワのふんどし,鬼/特殊系C,胴,3,same_as_equipment_id_zero_based_table,0x0E84,0x0B0E84,CB:0E84,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
199,0xC7,麻のふんどし,鬼/特殊系C,胴,7,same_as_equipment_id_zero_based_table,0x0E8E,0x0B0E8E,CB:0E8E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
200,0xC8,木綿のふんどし,鬼/特殊系C,胴,15,same_as_equipment_id_zero_based_table,0x0E98,0x0B0E98,CB:0E98,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
201,0xC9,絹のふんどし,鬼/特殊系C,胴,20,same_as_equipment_id_zero_based_table,0x0EA2,0x0B0EA2,CB:0EA2,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
202,0xCA,越中のふんどし,鬼/特殊系C,胴,29,same_as_equipment_id_zero_based_table,0x0EAC,0x0B0EAC,CB:0EAC,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
203,0xCB,金のふんどし,鬼/特殊系C,胴,37,same_as_equipment_id_zero_based_table,0x0EB6,0x0B0EB6,CB:0EB6,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
204,0xCC,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0EC0,0x0B0EC0,CB:0EC0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
205,0xCD,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0ECA,0x0B0ECA,CB:0ECA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
206,0xCE,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0ED4,0x0B0ED4,CB:0ED4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
207,0xCF,なし,鬼/特殊系C,武器,45,same_as_equipment_id_zero_based_table,0x0EDE,0x0B0EDE,CB:0EDE,3,84 83 82,84->03DB 83->0EE8 82->0408,False,False,True,non_default_special
208,0xD0,なし,鬼/特殊系C,胴,0,same_as_equipment_id_zero_based_table,0x0EF0,0x0B0EF0,CB:0EF0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
209,0xD1,鬼のかぎづめ,鬼/特殊系C,武器,5,same_as_equipment_id_zero_based_table,0x0EFA,0x0B0EFA,CB:0EFA,3,84 83 82,84->03DB 83->0F04 82->0408,False,False,True,non_default_special
210,0xD2,なし,鬼/特殊系C,武器,0,same_as_equipment_id_zero_based_table,0x0F0C,0x0B0F0C,CB:0F0C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
211,0xD3,なし,鬼/特殊系C,武器,0,same_as_equipment_id_zero_based_table,0x0F16,0x0B0F16,CB:0F16,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
212,0xD4,なし,鬼/特殊系C,武器,0,same_as_equipment_id_zero_based_table,0x0F20,0x0B0F20,CB:0F20,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
213,0xD5,はちまき,鬼/特殊系C,頭,3,same_as_equipment_id_zero_based_table,0x0F2A,0x0B0F2A,CB:0F2A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
214,0xD6,はちがね,鬼/特殊系C,頭,8,same_as_equipment_id_zero_based_table,0x0F34,0x0B0F34,CB:0F34,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
215,0xD7,かぶと,鬼/特殊系C,頭,12,same_as_equipment_id_zero_based_table,0x0F3E,0x0B0F3E,CB:0F3E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
216,0xD8,勇気のかぶと,鬼/特殊系C,頭,15,same_as_equipment_id_zero_based_table,0x0F48,0x0B0F48,CB:0F48,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
217,0xD9,赤はちまき,鬼/特殊系C,頭,5,same_as_equipment_id_zero_based_table,0x0F52,0x0B0F52,CB:0F52,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
218,0xDA,なし,鬼/特殊系C,頭,0,same_as_equipment_id_zero_based_table,0x0F5C,0x0B0F5C,CB:0F5C,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
219,0xDB,なし,鬼/特殊系C,頭,0,same_as_equipment_id_zero_based_table,0x0F66,0x0B0F66,CB:0F66,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
220,0xDC,わらじの足袋,鬼/特殊系C,足,2,same_as_equipment_id_zero_based_table,0x0F70,0x0B0F70,CB:0F70,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
221,0xDD,ウサギの足袋,鬼/特殊系C,足,5,same_as_equipment_id_zero_based_table,0x0F7A,0x0B0F7A,CB:0F7A,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
222,0xDE,キツネの足袋,鬼/特殊系C,足,8,same_as_equipment_id_zero_based_table,0x0F84,0x0B0F84,CB:0F84,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
223,0xDF,なし,鬼/特殊系C,足,13,same_as_equipment_id_zero_based_table,0x0F8E,0x0B0F8E,CB:0F8E,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
224,0xE0,かんじき,鬼/特殊系C,足,18,same_as_equipment_id_zero_based_table,0x0F98,0x0B0F98,CB:0F98,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
225,0xE1,シシの足袋,鬼/特殊系C,足,21,same_as_equipment_id_zero_based_table,0x0FA2,0x0B0FA2,CB:0FA2,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
226,0xE2,ヒョウの足袋,鬼/特殊系C,足,27,same_as_equipment_id_zero_based_table,0x0FAC,0x0B0FAC,CB:0FAC,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
227,0xE3,白象の足袋,鬼/特殊系C,足,30,same_as_equipment_id_zero_based_table,0x0FB6,0x0B0FB6,CB:0FB6,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
228,0xE4,黄泉の足袋,鬼/特殊系C,足,46,same_as_equipment_id_zero_based_table,0x0FC0,0x0B0FC0,CB:0FC0,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
229,0xE5,愛の足袋,鬼/特殊系C,足,48,same_as_equipment_id_zero_based_table,0x0FCA,0x0B0FCA,CB:0FCA,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
230,0xE6,勇気の沓,鬼/特殊系C,足,50,same_as_equipment_id_zero_based_table,0x0FD4,0x0B0FD4,CB:0FD4,3,84 83 82,84->03DB 83->03E1 82->0408,True,False,False,default
