pattern_id,count,tl,tr,bl,br,tiles,pals,hflips,vflips,priority
664,1,0x2E02,0x2E03,0x2E02,0x2F03,"0x202,0x203,0x202,0x303","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
665,1,0x2E02,0x2E03,0x2102,0x2303,"0x202,0x203,0x102,0x303","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
666,1,0x2E02,0x2E03,0x2302,0x2203,"0x202,0x203,0x302,0x203","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
667,1,0x2D12,0x2D13,0x2D12,0x2E13,"0x112,0x113,0x112,0x213","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
668,1,0x2E12,0x2D13,0x2912,0x3113,"0x212,0x113,0x112,0x113","2,2,2,3","1,1,0,0","1,1,1,0","0,0,0,0"
669,1,0x2D12,0x2E13,0x2E12,0x2213,"0x112,0x213,0x212,0x213","2,2,2,2","1,1,1,0","1,1,1,0","0,0,0,0"
670,1,0x2D12,0x2E13,0x2E12,0x2D13,"0x112,0x213,0x212,0x113","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
671,1,0x2E12,0x2E13,0x2212,0x2213,"0x212,0x213,0x212,0x213","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
672,1,0x2D12,0x2D13,0x2312,0x2113,"0x112,0x113,0x312,0x113","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
673,1,0x2E12,0x2D13,0x2112,0x2113,"0x212,0x113,0x112,0x113","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
674,1,0x2912,0x3113,0x2E12,0x2913,"0x112,0x113,0x212,0x113","2,3,2,2","0,0,1,0","1,0,1,1","0,0,0,0"
675,1,0x2E12,0x2D13,0x3112,0x2913,"0x212,0x113,0x112,0x113","2,2,3,2","1,1,0,0","1,1,0,1","0,0,0,0"
676,1,0x2E12,0x2D13,0x2E12,0x2D13,"0x212,0x113,0x212,0x113","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
677,1,0x2912,0x2D13,0x3112,0x2913,"0x112,0x113,0x112,0x113","2,2,3,2","0,1,0,0","1,1,0,1","0,0,0,0"
678,1,0x2E12,0x2D13,0x2E12,0x2E13,"0x212,0x113,0x212,0x213","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
679,1,0x2E12,0x2E13,0x2312,0x2213,"0x212,0x213,0x312,0x213","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
680,1,0x2E12,0x2E13,0x2912,0x2E13,"0x212,0x213,0x112,0x213","2,2,2,2","1,1,0,1","1,1,1,1","0,0,0,0"
681,1,0x2D12,0x2E13,0x2E12,0x2313,"0x112,0x213,0x212,0x313","2,2,2,2","1,1,1,0","1,1,1,0","0,0,0,0"
682,1,0x2912,0x2D13,0x2312,0x2413,"0x112,0x113,0x312,0x013","2,2,2,2","0,1,0,1","1,1,0,0","0,0,0,0"
683,1,0x2202,0x2103,0x2302,0x2403,"0x202,0x103,0x302,0x003","2,2,2,2","0,0,0,1","0,0,0,0","0,0,0,0"
684,1,0x2302,0x2303,0x2102,0x2903,"0x302,0x303,0x102,0x103","2,2,2,2","0,0,0,0","0,0,0,1","0,0,0,0"
685,1,0x2102,0x2103,0x2902,0x2903,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,0,0","0,0,1,1","0,0,0,0"
686,1,0x2202,0x2103,0x2202,0x2303,"0x202,0x103,0x202,0x303","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
687,1,0x2302,0x2203,0x2302,0x2903,"0x302,0x203,0x302,0x103","2,2,2,2","0,0,0,0","0,0,0,1","0,0,0,0"
688,1,0x2102,0x2103,0x2902,0x3103,"0x102,0x103,0x102,0x103","2,2,2,3","0,0,0,0","0,0,1,0","0,0,0,0"
689,1,0x2302,0x2303,0x2902,0x3103,"0x302,0x303,0x102,0x103","2,2,2,3","0,0,0,0","0,0,1,0","0,0,0,0"
690,1,0x2202,0x2103,0x3102,0x2503,"0x202,0x103,0x102,0x103","2,2,3,2","0,0,0,1","0,0,0,0","0,0,0,0"
691,1,0x2402,0x2403,0x3102,0x2503,"0x002,0x003,0x102,0x103","2,2,3,2","1,1,0,1","0,0,0,0","0,0,0,0"
692,1,0x2302,0x2303,0x2302,0x2303,"0x302,0x303,0x302,0x303","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
693,1,0x2402,0x2303,0x2902,0x2903,"0x002,0x303,0x102,0x103","2,2,2,2","1,0,0,0","0,0,1,1","0,0,0,0"
694,1,0x2402,0x2403,0x2902,0x2103,"0x002,0x003,0x102,0x103","2,2,2,2","1,1,0,0","0,0,1,0","0,0,0,0"
695,1,0x2302,0x2103,0x2202,0x2403,"0x302,0x103,0x202,0x003","2,2,2,2","0,0,0,1","0,0,0,0","0,0,0,0"
696,1,0x2302,0x2303,0x3102,0x3103,"0x302,0x303,0x102,0x103","2,2,3,3","0,0,0,0","0,0,0,0","0,0,0,0"
697,1,0x2302,0x2303,0x3102,0x2903,"0x302,0x303,0x102,0x103","2,2,3,2","0,0,0,0","0,0,0,1","0,0,0,0"
698,1,0x2402,0x2103,0x2102,0x2303,"0x002,0x103,0x102,0x303","2,2,2,2","1,0,0,0","0,0,0,0","0,0,0,0"
699,1,0x2302,0x2203,0x3102,0x3103,"0x302,0x203,0x102,0x103","2,2,3,3","0,0,0,0","0,0,0,0","0,0,0,0"
700,1,0x2302,0x2303,0x2502,0x3103,"0x302,0x303,0x102,0x103","2,2,2,3","0,0,1,0","0,0,0,0","0,0,0,0"
701,1,0x2302,0x2303,0x2502,0x2503,"0x302,0x303,0x102,0x103","2,2,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
702,1,0x2202,0x2103,0x2502,0x2503,"0x202,0x103,0x102,0x103","2,2,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
703,1,0x2102,0x2103,0x2502,0x2503,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
704,1,0x2202,0x2303,0x3102,0x3103,"0x202,0x303,0x102,0x103","2,2,3,3","0,0,0,0","0,0,0,0","0,0,0,0"
705,1,0x2212,0x2113,0x2112,0x2113,"0x212,0x113,0x112,0x113","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
706,1,0x2F12,0x2113,0x2912,0x3113,"0x312,0x113,0x112,0x113","2,2,2,3","1,0,0,0","1,0,1,0","0,0,0,0"
707,1,0x2112,0x2113,0x2F12,0x2913,"0x112,0x113,0x312,0x113","2,2,2,2","0,0,1,0","0,0,1,1","0,0,0,0"
708,1,0x2912,0x3113,0x3112,0x2513,"0x112,0x113,0x112,0x113","2,3,3,2","0,0,0,1","1,0,0,0","0,0,0,0"
709,1,0x2112,0x2F13,0x2412,0x2213,"0x112,0x313,0x012,0x213","2,2,2,2","0,1,1,0","0,1,0,0","0,0,0,0"
710,1,0x2112,0x2913,0x2112,0x2113,"0x112,0x113,0x112,0x113","2,2,2,2","0,0,0,0","0,1,0,0","0,0,0,0"
711,1,0x3112,0x2513,0x2912,0x3113,"0x112,0x113,0x112,0x113","3,2,2,3","0,1,0,0","0,0,1,0","0,0,0,0"
712,1,0x2112,0x2113,0x2112,0x2213,"0x112,0x113,0x112,0x213","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
713,1,0x2912,0x3113,0x2112,0x2113,"0x112,0x113,0x112,0x113","2,3,2,2","0,0,0,0","1,0,0,0","0,0,0,0"
714,1,0x2312,0x2413,0x3112,0x2913,"0x312,0x013,0x112,0x113","2,2,3,2","0,1,0,0","0,0,0,1","0,0,0,0"
715,1,0x2912,0x2413,0x3112,0x2313,"0x112,0x013,0x112,0x313","2,2,3,2","0,1,0,0","1,0,0,0","0,0,0,0"
716,1,0x2312,0x2213,0x2912,0x2413,"0x312,0x213,0x112,0x013","2,2,2,2","0,0,0,1","0,0,1,0","0,0,0,0"
717,1,0x2912,0x2213,0x2312,0x2313,"0x112,0x213,0x312,0x313","2,2,2,2","0,0,0,0","1,0,0,0","0,0,0,0"
718,1,0x2302,0x2303,0x2302,0x2903,"0x302,0x303,0x302,0x103","2,2,2,2","0,0,0,0","0,0,0,1","0,0,0,0"
719,1,0x2102,0x2903,0x2502,0x2503,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,1,1","0,1,0,0","0,0,0,0"
720,1,0x2102,0x2203,0x2902,0x3103,"0x102,0x203,0x102,0x103","2,2,2,3","0,0,0,0","0,0,1,0","0,0,0,0"
721,1,0x2202,0x2903,0x2502,0x2503,"0x202,0x103,0x102,0x103","2,2,2,2","0,0,1,1","0,1,0,0","0,0,0,0"
722,1,0x2302,0x2203,0x3102,0x2503,"0x302,0x203,0x102,0x103","2,2,3,2","0,0,0,1","0,0,0,0","0,0,0,0"
723,1,0x2102,0x2203,0x2502,0x2503,"0x102,0x203,0x102,0x103","2,2,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
724,1,0x2902,0x3103,0x2502,0x2503,"0x102,0x103,0x102,0x103","2,3,2,2","0,0,1,1","1,0,0,0","0,0,0,0"
725,1,0x2902,0x2903,0x2502,0x2503,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,1,1","1,1,0,0","0,0,0,0"
726,1,0x2202,0x2303,0x2502,0x3103,"0x202,0x303,0x102,0x103","2,2,2,3","0,0,1,0","0,0,0,0","0,0,0,0"
727,1,0x2202,0x2103,0x2902,0x2203,"0x202,0x103,0x102,0x203","2,2,2,2","0,0,0,0","0,0,1,0","0,0,0,0"
728,1,0x2202,0x2103,0x2902,0x2303,"0x202,0x103,0x102,0x303","2,2,2,2","0,0,0,0","0,0,1,0","0,0,0,0"
729,1,0x2902,0x2203,0x2502,0x2503,"0x102,0x203,0x102,0x103","2,2,2,2","0,0,1,1","1,0,0,0","0,0,0,0"
730,1,0x2202,0x2203,0x3102,0x2903,"0x202,0x203,0x102,0x103","2,2,3,2","0,0,0,0","0,0,0,1","0,0,0,0"
731,1,0x2902,0x2303,0x2502,0x2503,"0x102,0x303,0x102,0x103","2,2,2,2","0,0,1,1","1,0,0,0","0,0,0,0"
732,1,0x2302,0x2403,0x2502,0x3103,"0x302,0x003,0x102,0x103","2,2,2,3","0,1,1,0","0,0,0,0","0,0,0,0"
733,1,0x2202,0x2403,0x2502,0x2503,"0x202,0x003,0x102,0x103","2,2,2,2","0,1,1,1","0,0,0,0","0,0,0,0"
734,1,0x2312,0x2213,0x2212,0x4213,"0x312,0x213,0x212,0x213","2,2,2,4","0,0,0,0","0,0,0,0","0,0,0,0"
735,1,0x2212,0x4213,0x4112,0x3E13,"0x212,0x213,0x112,0x213","2,4,4,3","0,0,0,1","0,0,0,1","0,0,0,0"
736,1,0x2312,0x2213,0x4212,0x4113,"0x312,0x213,0x212,0x113","2,2,4,4","0,0,0,0","0,0,0,0","0,0,0,0"
737,1,0x2212,0x4213,0x3E12,0x3E13,"0x212,0x213,0x212,0x213","2,4,3,3","0,0,1,1","0,0,1,1","0,0,0,0"
738,1,0x2312,0x2213,0x4212,0x4213,"0x312,0x213,0x212,0x213","2,2,4,4","0,0,0,0","0,0,0,0","0,0,0,0"
739,1,0x2312,0x2213,0x4112,0x3E13,"0x312,0x213,0x112,0x213","2,2,4,3","0,0,0,1","0,0,0,1","0,0,0,0"
740,1,0x2212,0x2213,0x3E12,0x3E13,"0x212,0x213,0x212,0x213","2,2,3,3","0,0,1,1","0,0,1,1","0,0,0,0"
741,1,0x2212,0x2213,0x4112,0x4213,"0x212,0x213,0x112,0x213","2,2,4,4","0,0,0,0","0,0,0,0","0,0,0,0"
742,1,0x2212,0x2113,0x2312,0x2213,"0x212,0x113,0x312,0x213","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
743,1,0x2312,0x2213,0x3E12,0x4113,"0x312,0x213,0x212,0x113","2,2,3,4","0,0,1,0","0,0,1,0","0,0,0,0"
744,1,0x2212,0x2213,0x4212,0x4213,"0x212,0x213,0x212,0x213","2,2,4,4","0,0,0,0","0,0,0,0","0,0,0,0"
745,1,0x3E12,0x4113,0x3E12,0x3E13,"0x212,0x113,0x212,0x213","3,4,3,3","1,0,1,1","1,0,1,1","0,0,0,0"
746,1,0x4212,0x2213,0x3E12,0x3E13,"0x212,0x213,0x212,0x213","4,2,3,3","0,0,1,1","0,0,1,1","0,0,0,0"
747,1,0x2312,0x2413,0x4212,0x4213,"0x312,0x013,0x212,0x213","2,2,4,4","0,1,0,0","0,0,0,0","0,0,0,0"
748,1,0x2312,0x2313,0x3E12,0x3E13,"0x312,0x313,0x212,0x213","2,2,3,3","0,0,1,1","0,0,1,1","0,0,0,0"
749,1,0x2412,0x2313,0x4112,0x4113,"0x012,0x313,0x112,0x113","2,2,4,4","1,0,0,0","0,0,0,0","0,0,0,0"
750,1,0x2502,0x2503,0x5202,0x5103,"0x102,0x103,0x202,0x103","2,2,5,5","1,1,0,0","0,0,0,0","0,0,0,0"
751,1,0x2502,0x2503,0x5302,0x5203,"0x102,0x103,0x302,0x203","2,2,5,5","1,1,0,0","0,0,0,0","0,0,0,0"
752,1,0x2502,0x5403,0x5202,0x5103,"0x102,0x003,0x202,0x103","2,5,5,5","1,1,0,0","0,0,0,0","0,0,0,0"
753,1,0x5202,0x2503,0x5102,0x5203,"0x202,0x103,0x102,0x203","5,2,5,5","0,1,0,0","0,0,0,0","0,0,0,0"
754,1,0x5402,0x5403,0x5102,0x5303,"0x002,0x003,0x102,0x303","5,5,5,5","1,1,0,0","0,0,0,0","0,0,0,0"
755,1,0x2502,0x5403,0x5202,0x5303,"0x102,0x003,0x202,0x303","2,5,5,5","1,1,0,0","0,0,0,0","0,0,0,0"
756,1,0x2502,0x5103,0x5302,0x5103,"0x102,0x103,0x302,0x103","2,5,5,5","1,0,0,0","0,0,0,0","0,0,0,0"
757,1,0x5102,0x5403,0x5302,0x5103,"0x102,0x003,0x302,0x103","5,5,5,5","0,1,0,0","0,0,0,0","0,0,0,0"
758,1,0x5402,0x5103,0x5302,0x5103,"0x002,0x103,0x302,0x103","5,5,5,5","1,0,0,0","0,0,0,0","0,0,0,0"
759,1,0x2202,0x2203,0x2202,0x2203,"0x202,0x203,0x202,0x203","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
760,1,0x2202,0x2103,0x2202,0x2103,"0x202,0x103,0x202,0x103","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
761,1,0x2102,0x2103,0x2102,0x2103,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
762,1,0x2102,0x2203,0x2302,0x2303,"0x102,0x203,0x302,0x303","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
763,1,0x2202,0x2F03,0x2202,0x2203,"0x202,0x303,0x202,0x203","2,2,2,2","0,1,0,0","0,1,0,0","0,0,0,0"
764,1,0x2F02,0x2103,0x2F02,0x2103,"0x302,0x103,0x302,0x103","2,2,2,2","1,0,1,0","1,0,1,0","0,0,0,0"
765,1,0x2202,0x2103,0x2402,0x2403,"0x202,0x103,0x002,0x003","2,2,2,2","0,0,1,1","0,0,0,0","0,0,0,0"
766,1,0x2F02,0x2103,0x2102,0x2103,"0x302,0x103,0x102,0x103","2,2,2,2","1,0,0,0","1,0,0,0","0,0,0,0"
767,1,0x2102,0x2103,0x2302,0x2403,"0x102,0x103,0x302,0x003","2,2,2,2","0,0,0,1","0,0,0,0","0,0,0,0"
768,1,0x2102,0x2103,0x2202,0x2103,"0x102,0x103,0x202,0x103","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
769,1,0x2512,0x2513,0xB312,0xB513,"0x112,0x113,0x312,0x113","2,2,3,3","1,1,0,1","0,0,0,0","0,0,1,1"
770,1,0x2512,0xB313,0xB812,0xB413,"0x112,0x313,0x012,0x013","2,3,3,3","1,0,0,1","0,0,1,0","0,1,1,1"
771,1,0xB312,0x2513,0xB412,0xB413,"0x312,0x113,0x012,0x013","3,2,3,3","0,1,1,1","0,0,0,0","1,0,1,1"
772,1,0x2512,0x2513,0xB512,0xB313,"0x112,0x113,0x112,0x313","2,2,3,3","1,1,1,0","0,0,0,0","0,0,1,1"
773,1,0x2512,0xB313,0xB312,0xB413,"0x112,0x313,0x312,0x013","2,3,3,3","1,0,0,1","0,0,0,0","0,1,1,1"
774,1,0xB312,0xB413,0xB812,0xB813,"0x312,0x013,0x012,0x013","3,3,3,3","0,1,0,0","0,0,1,1","1,1,1,1"
775,1,0xB512,0xB313,0xB412,0xB513,"0x112,0x313,0x012,0x113","3,3,3,3","1,0,1,1","0,0,0,0","1,1,1,1"
776,1,0x2512,0x2613,0xB512,0xB313,"0x112,0x213,0x112,0x313","2,2,3,3","1,1,1,0","0,0,0,0","0,0,1,1"
777,1,0xB312,0xB513,0xB312,0xB413,"0x312,0x113,0x312,0x013","3,3,3,3","0,1,0,1","0,0,0,0","1,1,1,1"
778,1,0xB512,0xB413,0xB412,0xB413,"0x112,0x013,0x012,0x013","3,3,3,3","1,1,1,1","0,0,0,0","1,1,1,1"
779,1,0xB312,0x2513,0xB312,0x2513,"0x312,0x113,0x312,0x113","3,2,3,2","0,1,0,1","0,0,0,0","1,0,1,0"
780,1,0x2512,0xB313,0x2512,0xB513,"0x112,0x313,0x112,0x113","2,3,2,3","1,0,1,1","0,0,0,0","0,1,0,1"
781,1,0xB412,0xB813,0xB412,0xB413,"0x012,0x013,0x012,0x013","3,3,3,3","1,0,1,1","0,1,0,0","1,1,1,1"
782,1,0xB312,0x2513,0xB512,0xB313,"0x312,0x113,0x112,0x313","3,2,3,3","0,1,1,0","0,0,0,0","1,0,1,1"
783,1,0x2612,0x2613,0xB612,0x2613,"0x212,0x213,0x212,0x213","2,2,3,2","1,1,1,1","0,0,0,0","0,0,1,0"
784,1,0x2512,0x2513,0xA912,0xB613,"0x112,0x113,0x112,0x213","2,2,2,3","1,1,0,1","0,0,1,0","0,0,1,1"
785,1,0x2512,0x2513,0xA912,0x2513,"0x112,0x113,0x112,0x113","2,2,2,2","1,1,0,1","0,0,1,0","0,0,1,0"
786,1,0xB612,0x2513,0xB612,0xB613,"0x212,0x113,0x212,0x213","3,2,3,3","1,1,1,1","0,0,0,0","1,0,1,1"
787,1,0x2512,0xB613,0x2512,0xB613,"0x112,0x213,0x112,0x213","2,3,2,3","1,1,1,1","0,0,0,0","0,1,0,1"
788,1,0xB612,0xB613,0xB612,0xB613,"0x212,0x213,0x212,0x213","3,3,3,3","1,1,1,1","0,0,0,0","1,1,1,1"
789,1,0x2512,0x2513,0xB612,0xB613,"0x112,0x113,0x212,0x213","2,2,3,3","1,1,1,1","0,0,0,0","0,0,1,1"
790,1,0xB612,0xA913,0xB612,0xB613,"0x212,0x113,0x212,0x213","3,2,3,3","1,0,1,1","0,1,0,0","1,1,1,1"
791,1,0xA902,0xA903,0xA902,0xA903,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,0,0","1,1,1,1","1,1,1,1"
792,1,0x2502,0x2503,0x2602,0xB603,"0x102,0x103,0x202,0x203","2,2,2,3","1,1,1,1","0,0,0,0","0,0,0,1"
793,1,0x2502,0x2503,0xB602,0xB603,"0x102,0x103,0x202,0x203","2,2,3,3","1,1,1,1","0,0,0,0","0,0,1,1"
794,1,0x2502,0xB603,0xA902,0x2503,"0x102,0x203,0x102,0x103","2,3,2,2","1,1,0,1","0,0,1,0","0,1,1,0"
795,1,0xB602,0x2503,0xB602,0xA903,"0x202,0x103,0x202,0x103","3,2,3,2","1,1,1,0","0,0,0,1","1,0,1,1"
796,1,0x2602,0x2503,0xA902,0xB603,"0x202,0x103,0x102,0x203","2,2,2,3","1,1,0,1","0,0,1,0","0,0,1,1"
797,1,0x2502,0x2503,0xA902,0x2503,"0x102,0x103,0x102,0x103","2,2,2,2","1,1,0,1","0,0,1,0","0,0,1,0"
798,1,0x2502,0x2503,0xB602,0x2503,"0x102,0x103,0x202,0x103","2,2,3,2","1,1,1,1","0,0,0,0","0,0,1,0"
799,1,0x3902,0x3A03,0x5802,0x5803,"0x102,0x203,0x002,0x003","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
800,1,0x3902,0x3C03,0x3A02,0x3B03,"0x102,0x003,0x202,0x303","3,3,3,3","0,1,0,0","1,1,1,1","0,0,0,0"
801,1,0x3A02,0x3A03,0x5802,0x5803,"0x202,0x203,0x002,0x003","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
802,1,0x3902,0x3A03,0x3A02,0x3B03,"0x102,0x203,0x202,0x303","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
803,1,0x3A02,0x3B03,0x5802,0x5803,"0x202,0x303,0x002,0x003","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
804,1,0x3C02,0x3A03,0x3B02,0x5803,"0x002,0x203,0x302,0x003","3,3,3,5","1,0,0,0","1,1,1,1","0,0,0,0"
805,1,0x3B02,0x5803,0x5802,0x5803,"0x302,0x003,0x002,0x003","3,5,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
806,1,0x3912,0x3B13,0x5812,0x5813,"0x112,0x313,0x012,0x013","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
807,1,0x3B12,0x3B13,0x3B12,0x3A13,"0x312,0x313,0x312,0x213","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
808,1,0x3B12,0x3913,0x3C12,0x3C13,"0x312,0x113,0x012,0x013","3,3,3,3","0,0,1,1","1,1,1,1","0,0,0,0"
809,1,0x3912,0x3A13,0x5812,0x5813,"0x112,0x213,0x012,0x013","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
810,1,0x3B12,0x3B13,0x5812,0x3B13,"0x312,0x313,0x012,0x313","3,3,5,3","0,0,0,0","1,1,1,1","0,0,0,0"
811,1,0x3912,0x3C13,0x3A12,0x3C13,"0x112,0x013,0x212,0x013","3,3,3,3","0,1,0,1","1,1,1,1","0,0,0,0"
812,1,0x3B12,0x3913,0x5812,0x3B13,"0x312,0x113,0x012,0x313","3,3,5,3","0,0,0,0","1,1,1,1","0,0,0,0"
813,1,0x3912,0x3C13,0x3A12,0x3D13,"0x112,0x013,0x212,0x113","3,3,3,3","0,1,0,1","1,1,1,1","0,0,0,0"
814,1,0x3B12,0x3913,0x5812,0x5813,"0x312,0x113,0x012,0x013","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
815,1,0x3C12,0x3C13,0x3B12,0x3A13,"0x012,0x013,0x312,0x213","3,3,3,3","1,1,0,0","1,1,1,1","0,0,0,0"
816,1,0xCA12,0xCA13,0xDA12,0xDA13,"0x212,0x213,0x212,0x213","4,4,5,5","0,0,0,0","1,1,1,1","1,1,1,1"
817,1,0xCA12,0xCA13,0xD912,0xD913,"0x212,0x213,0x112,0x113","4,4,5,5","0,0,0,0","1,1,1,1","1,1,1,1"
818,1,0xCA12,0xCA13,0xDA12,0xCA13,"0x212,0x213,0x212,0x213","4,4,5,4","0,0,0,0","1,1,1,1","1,1,1,1"
819,1,0xDA12,0xD913,0xDA12,0xD913,"0x212,0x113,0x212,0x113","5,5,5,5","0,0,0,0","1,1,1,1","1,1,1,1"
820,1,0xD912,0xCA13,0xD912,0xD913,"0x112,0x213,0x112,0x113","5,4,5,5","0,0,0,0","1,1,1,1","1,1,1,1"
821,1,0xCA12,0xCA13,0xDA12,0xD913,"0x212,0x213,0x212,0x113","4,4,5,5","0,0,0,0","1,1,1,1","1,1,1,1"
822,1,0xCA12,0xD913,0xD912,0xD913,"0x212,0x113,0x112,0x113","4,5,5,5","0,0,0,0","1,1,1,1","1,1,1,1"
823,1,0xCA12,0xDA13,0x2612,0xCA13,"0x212,0x213,0x212,0x213","4,5,2,4","0,0,1,0","1,1,0,1","1,1,0,1"
824,1,0xDA12,0xDA13,0xCA12,0xCA13,"0x212,0x213,0x212,0x213","5,5,4,4","0,0,0,0","1,1,1,1","1,1,1,1"
825,1,0x2902,0x3103,0x2102,0x2E03,"0x102,0x103,0x102,0x203","2,3,2,2","0,0,0,1","1,0,0,1","0,0,0,0"
826,1,0x3102,0x3103,0x2102,0x2103,"0x102,0x103,0x102,0x103","3,3,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
827,1,0x2E02,0x2903,0x2102,0x2F03,"0x202,0x103,0x102,0x303","2,2,2,2","1,0,0,1","1,1,0,1","0,0,0,0"
828,1,0x2902,0x2D03,0x2102,0x2F03,"0x102,0x103,0x102,0x303","2,2,2,2","0,1,0,1","1,1,0,1","0,0,0,0"
829,1,0x2E02,0x2E03,0x2102,0x2203,"0x202,0x203,0x102,0x203","2,2,2,2","1,1,0,0","1,1,0,0","0,0,0,0"
830,1,0x3102,0x3103,0x2102,0x2E03,"0x102,0x103,0x102,0x203","3,3,2,2","0,0,0,1","0,0,0,1","0,0,0,0"
831,1,0x2902,0x2903,0x2102,0x2F03,"0x102,0x103,0x102,0x303","2,2,2,2","0,0,0,1","1,1,0,1","0,0,0,0"
832,1,0x2902,0x2E03,0x2102,0x2103,"0x102,0x203,0x102,0x103","2,2,2,2","0,1,0,0","1,1,0,0","0,0,0,0"
833,1,0x2902,0x2903,0x2102,0x2103,"0x102,0x103,0x102,0x103","2,2,2,2","0,0,0,0","1,1,0,0","0,0,0,0"
834,1,0x2412,0x2113,0x2112,0x2113,"0x012,0x113,0x112,0x113","2,2,2,2","1,0,0,0","0,0,0,0","0,0,0,0"
835,1,0x2112,0x2113,0x2912,0x3113,"0x112,0x113,0x112,0x113","2,2,2,3","0,0,0,0","0,0,1,0","0,0,0,0"
836,1,0x2312,0x2113,0x2212,0x2213,"0x312,0x113,0x212,0x213","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
837,1,0x2112,0x2F13,0x2312,0x2213,"0x112,0x313,0x312,0x213","2,2,2,2","0,1,0,0","0,1,0,0","0,0,0,0"
838,1,0x2112,0x2113,0x2112,0x2113,"0x112,0x113,0x112,0x113","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
839,1,0x2912,0x3113,0x2F12,0x2913,"0x112,0x113,0x312,0x113","2,3,2,2","0,0,1,0","1,0,1,1","0,0,0,0"
840,1,0x2312,0x2313,0x3112,0x2913,"0x312,0x313,0x112,0x113","2,2,3,2","0,0,0,0","0,0,0,1","0,0,0,0"
841,1,0x2912,0x2113,0x3112,0x2913,"0x112,0x113,0x112,0x113","2,2,3,2","0,0,0,0","1,0,0,1","0,0,0,0"
842,1,0x2212,0x2113,0x2912,0x2313,"0x212,0x113,0x112,0x313","2,2,2,2","0,0,0,0","0,0,1,0","0,0,0,0"
843,1,0x2912,0x2113,0x2312,0x2413,"0x112,0x113,0x312,0x013","2,2,2,2","0,0,0,1","1,0,0,0","0,0,0,0"
844,1,0x3102,0x2503,0x2102,0x2903,"0x102,0x103,0x102,0x103","3,2,2,2","0,1,0,0","0,0,0,1","0,0,0,0"
845,1,0x2502,0x2503,0x2E02,0x2903,"0x102,0x103,0x202,0x103","2,2,2,2","1,1,1,0","0,0,1,1","0,0,0,0"
846,1,0x2902,0x3103,0x2102,0x2F03,"0x102,0x103,0x102,0x303","2,3,2,2","0,0,0,1","1,0,0,1","0,0,0,0"
847,1,0x2502,0x2503,0x2102,0x2903,"0x102,0x103,0x102,0x103","2,2,2,2","1,1,0,0","0,0,0,1","0,0,0,0"
848,1,0x2E02,0x2903,0x2102,0x2103,"0x202,0x103,0x102,0x103","2,2,2,2","1,0,0,0","1,1,0,0","0,0,0,0"
849,1,0x3102,0x2503,0x2102,0x2103,"0x102,0x103,0x102,0x103","3,2,2,2","0,1,0,0","0,0,0,0","0,0,0,0"
